Gene	KO01	KO02	KO03	WT01	WT02	WT03
PNPLA6!ENSG00000032444.15	12.2614138578817	12.3014532214818	12.387442309079	12.2139635664588	12.2130606099862	12.3411181180918
IFT88!ENSG00000032742.17	9.1023869891167	9.09733927467817	8.92761298453555	9.29049561808969	9.21719266432817	9.11191905653371
ALG1!ENSG00000033011.11	10.1772124569736	10.1585873244991	10.2591312836055	10.1231142852164	10.1002858848884	10.2016115630003
ZCCHC8!ENSG00000033030.13	10.8131806557439	10.8961238724815	10.8175499891588	10.9678708625004	10.9126433402931	10.8767900068504
ABCF2!ENSG00000033050.7	12.7481091722195	12.7683105229734	12.8051086899141	12.8349836444836	12.8417895372893	12.9169594099236
CHPF2!ENSG00000033100.14	11.5681715848769	11.5959237183438	11.697061834207	11.4324697973653	11.482155617253	11.5036556975426
LRRC7!ENSG00000033122.18	5.25639549262428	5.31231651398867	5.2118471999318	5.30712037387722	5.29213958114944	5.2006987020836
FUT8!ENSG00000033170.16	11.7357187799328	11.7601880001067	11.7338691368771	11.729688786064	11.7667687272357	11.6890378767597
UBA6!ENSG00000033178.12	12.0576796084548	11.9074839765667	11.7048792906809	12.2507143718131	12.2225526718865	11.9911853007218
GAB2!ENSG00000033327.12	9.46447725537339	9.54837731745349	9.69226533584875	9.32549346107804	9.30890212030639	9.24890256228628
ATP6V0A1!ENSG00000033627.14	12.9899329598522	13.0358645585694	13.211014732831	12.8104456895037	12.841461757629	12.9572342225311
PIAS1!ENSG00000033800.13	12.3781957678075	12.4301359117604	12.5894938101484	12.2802279798323	12.3211121714801	12.2975551073961
SLC4A7!ENSG00000033867.16	11.2746124528997	11.139125556673	10.8491567450241	11.4325843159662	11.4402699040833	11.1686820510726
APBA2!ENSG00000034053.14	-1.48333956560481	-1.48283535572632	-1.48807175352339	-1.48872553181427	-1.48903995874207	-1.48916140301668
MAP2K3!ENSG00000034152.18	11.8566098211648	11.9243907916701	12.0819646171387	11.7782700446408	11.8364564998086	11.932174644991
EFCAB1!ENSG00000034239.10	-1.9686620680009	-1.96837149598054	-1.9678648056525	-1.96824157272303	-1.96842277438441	-1.96496837826466
TMSB10!ENSG00000034510.5	12.8395230099452	12.9130309425773	13.2445058263224	12.7481900888791	12.8238263910694	13.039286435937
ASTE1!ENSG00000034533.11	8.8424811098324	8.79799015321653	8.8535740937876	8.84336005425823	8.81266760781744	8.78161379983067
RNF19A!ENSG00000034677.11	10.8150512315645	10.7550409999775	10.5094880740297	10.4898064193985	10.4582990692742	10.3011718132018
PEX3!ENSG00000034693.14	9.91212090070056	9.78571808498478	9.67847675234948	10.0205858120076	10.0747550559872	10.0103762282877
GABARAPL2!ENSG00000034713.7	11.7117641952525	11.6188129420336	11.326536276608	11.8241858197806	11.8293675658432	11.7206938932646
MYOC!ENSG00000034971.14	5.46271832604321	5.45968304857409	5.53141963093424	5.6390041122193	5.57703990510054	5.71055047444842
SH3YL1!ENSG00000035115.21	8.30932274604438	8.26199517016027	8.14697334331446	8.24653933730534	8.28509032185634	8.14135930194133
FAM136A!ENSG00000035141.7	11.7614237168928	11.7471363218799	11.6205460232341	11.7544239866541	11.7134000757094	11.7534088262835
VCL!ENSG00000035403.16	9.2673485411102	9.29650192037183	9.36609023839952	9.97696201433304	10.0168147282583	9.97670389131564
DEPDC1B!ENSG00000035499.12	10.8834519995664	10.799856207782	10.7387344254512	10.8255543808589	10.8283448479285	10.8045973708708
DAPK2!ENSG00000035664.11	7.52965906149264	7.4698037503102	7.51968838754914	7.33631089845863	7.31224430619671	7.27914654743498
NSMAF!ENSG00000035681.7	11.5820199097743	11.5447475417577	11.4397428833109	11.6655808706354	11.6543456692147	11.6207031744332
